image,name,address,city,state,zip,lat,lng, type
Matrix Club Pickleball,1215 Melissa Dr,Bentonville,AR,72712,36.3545,-94.2215,Business
Pickleball Kingdom Springdale,4847 S Thompson St,Springdale,AR,72764,36.1415,-94.1485,Business
The Athletic Club of Little Rock,10700 N Rodney Parham Rd,Little Rock,AR,72212,34.7785,-92.3915,Business
Kanis Park Pickleball Courts,820 S Rodney Parham Rd,Little Rock,AR,72205,34.7385,-92.3815,Park
Reservoir Park Courts,8300 Reservoir Rd,Little Rock,AR,72227,34.7785,-92.3585,Park
Rebsamen Tennis & Pickleball Center,1501 Leisure Way,Little Rock,AR,72202,34.7685,-92.3185,Park
Burns Park Tennis & Pickleball Center,4000 Joe K Poch Rd,North Little Rock,AR,72118,34.7915,-92.3185,Park
North Heights Park,4801 Allen St,North Little Rock,AR,72117,34.7985,-92.2415,Park
Benton Athletic Complex,1800 Citizens Dr,Benton,AR,72015,34.5685,-92.5985,Park
Bishop Park Courts,6401 Boone Rd,Bryant,AR,72022,34.5915,-92.4845,Park
Centennial Park Pickleball Complex,Mountain Ranch Rd,Fayetteville,AR,72704,36.0645,-94.2085,Park
Walker Park Courts,10 W 15th St,Fayetteville,AR,72701,36.0485,-94.1615,Park
Wilson Park Courts,675 N Park Ave,Fayetteville,AR,72701,36.0715,-94.1645,Park
Kessler Mountain Regional Park,2600 W Judge Cummings Rd,Fayetteville,AR,72701,36.0245,-94.1985,Park
Osage Park Pickleball Complex,700 SW I St,Bentonville,AR,72712,36.3515,-94.2285,Park
Citizens Park Courts,1101 SW Citizens Cir,Bentonville,AR,72712,36.3615,-94.2385,Park
Memorial Park Bentonville,401 Martin Luther King Jr Pkwy,Bentonville,AR,72712,36.3685,-94.2015,Park
Mount Hebron Park Pickleball Complex,Mount Hebron Rd,Rogers,AR,72758,36.3185,-94.1985,Park
Rogers Regional Sports Park,2150 N Dixieland Rd,Rogers,AR,72756,36.3545,-94.1415,Park
C.B. Charlie Craig State Hatchery Park,"Centerton, AR",Centerton,AR,72719,36.3585,-94.2885,Park
Bella Vista Metfield Courts,3 Euston Rd,Bella Vista,AR,72714,36.4685,-94.2385,Park
Bella Vista Riordan Hall Courts,3 Riordan Dr,Bella Vista,AR,72715,36.4485,-94.2785,Park
Shaw Family Park,7341 S 48th St,Springdale,AR,72762,36.1685,-94.1985,Park
J.B. Hunt Park Courts,Fleming Dr,Springdale,AR,72764,36.1985,-94.1385,Park
Ben Geren Regional Park Pickleball Complex,7200 Zero St,Fort Smith,AR,72903,35.3385,-94.3415,Park
Creekmore Park Courts,3303 S S St,Fort Smith,AR,72903,35.3615,-94.4085,Park
Family Park Hot Springs,215 Family Park Rd,Hot Springs,AR,71913,34.4845,-93.1115,Park
Kimery Park Courts,Kimery Ln,Hot Springs,AR,71913,34.4545,-93.0645,Park
Craighead Forest Park Courts,4910 S Culberhouse Rd,Jonesboro,AR,72404,35.7785,-90.7115,Park
Southside Softball & Pickleball Complex,5003 Stadium Blvd,Jonesboro,AR,72404,35.7915,-90.6785,Park
Mount Sequoyah Center Courts,150 N Skyline Dr,Fayetteville,AR,72701,36.0685,-94.1485,Park
Gulley Park Pickleball Courts,1850 E Township St,Fayetteville,AR,72703,36.0945,-94.1345,Park
