image,name,address,city,state,zip,lat,lng, type,cam
Diadem Pickleball Tulsa,2795 E 91st St,Tulsa,OK,74137,36.03202,-95.92151,Business,https://livepickleballcourts.com/facilities/diadem-pickleball-tulsa
Chicken N Pickle - Oklahoma City,8400 N Oklahoma Ave,Oklahoma City,OK,73114,35.5585,-97.5085,Business
Lafortune Tennis & Pickleball Center,5302 S Hudson Ave,Tulsa,OK,74135,36.0885,-95.9085,Business
Hidden Trails Country Club Pickleball,6501 S Country Club Dr,Oklahoma City,OK,73159,35.3985,-97.5445,Business
Greater Oklahoma City Pickleball Club,3000 E Britton Rd,Oklahoma City,OK,73131,35.5685,-97.4715,Business
Scissortail Park Pickleball Courts,300 SW 7th St,Oklahoma City,OK,73109,35.4615,-97.5185,Park
Earlywine Park Pickleball Complex,3033 SW 119th St,Oklahoma City,OK,73170,35.3485,-97.5685,Park
Will Rogers Gardens Courts,3400 NW 36th St,Oklahoma City,OK,73112,35.5085,-97.5785,Park
McCollum Park Courts,NW 10th St,Oklahoma City,OK,73127,35.4785,-97.6185,Park
Hafer Park Pickleball Complex,1034 S Bryant Ave,Edmond,OK,73034,35.6415,-97.4585,Park
Mitch Park Courts,1501 W Covell Rd,Edmond,OK,73003,35.6745,-97.4985,Park
Bickham-Rudkin Park Courts,E 33rd St,Edmond,OK,73013,35.6185,-97.4585,Park
Westwood Tennis & Pickleball Center,2400 Westport Dr,Norman,OK,73069,35.2445,-97.4685,Park
Reaves Park Pickleball Courts,2501 Jenkins Ave,Norman,OK,73072,35.1985,-97.4385,Park
Buck Thomas Park Courts,1903 S Eastern Ave,Moore,OK,73160,35.3185,-97.4785,Park
Whitesell Park Courts,100 Whitesell Dr,Yukon,OK,73099,35.5015,-97.7485,Park
Chisholm Trail Park,500 W Vandament Ave,Yukon,OK,73099,35.4985,-97.7615,Park
Eldon Lyon Park Courts,7400 NW 36th St,Bethany,OK,73008,35.5085,-97.6445,Park
Whiteside Park Pickleball Courts,4009 S Pittsburg Ave,Tulsa,OK,74135,36.1085,-95.9285,Park
Manion Park Courts,3003 E 56th St,Tulsa,OK,74105,36.0845,-95.9515,Park
Heller Park Courts,5328 S Wheeling Ave,Tulsa,OK,74105,36.0885,-95.9745,Park
Haikey Creek Park Pickleball Complex,11327 S Garnett Rd,Broken Arrow,OK,74011,36.0015,-95.8545,Park
Central Park Broken Arrow Courts,1500 S Main St,Broken Arrow,OK,74012,36.0385,-95.7885,Park
Ray Harral Nature Park Courts,7101 S 3rd St,Broken Arrow,OK,74011,36.0615,-95.7845,Park
Owasso Sports Park Courts,10320 E 116th St N,Owasso,OK,74055,36.3085,-95.8545,Park
Sapulpa Sports Complex Courts,1201 E Cobb Ave,Sapulpa,OK,74066,35.9985,-96.1015,Park
Elmer Thomas Park Courts,NW Ferris Ave,Lawton,OK,73507,34.6185,-98.3985,Park
Couch Park Pickleball Courts,E 12th Ave,Stillwater,OK,74074,36.1115,-97.0485,Park
Boomer Lake Park Courts,Lakeview Rd,Stillwater,OK,74075,36.1485,-97.0685,Park
Honor Heights Park Courts,Honor Heights Dr,Muskogee,OK,74401,35.7685,-95.4085,Park
