image,name,address,city,state,zip,lat,lng, type
The Kitchen Pickleball Club - Salt Lake,5255 S Commerce Dr,Murray,UT,84107,40.6585,-111.8945,Business
The Picklr Kaysville,214 N 200 W,Kaysville,UT,84037,41.0385,-111.9445,Business
Club Pickleball USA - Sandy,9070 S 300 W,Sandy,UT,84070,40.5885,-111.8985,Business
Club Pickleball USA - Orem,1313 W 1600 N,Orem,UT,84057,40.3215,-111.7245,Business
11th Avenue Park Courts,550 11th Ave,Salt Lake City,UT,84103,40.7815,-111.8645,Park
Fairmont Park Pickleball Courts,1040 Sugarmont Dr,Salt Lake City,UT,84106,40.7185,-111.8615,Park
Sunnyside Park Courts,1735 E Sunnyside Ave,Salt Lake City,UT,84108,40.7515,-111.8385,Park
Jordan Park Courts,1060 S 900 W,Salt Lake City,UT,84104,40.7445,-111.9185,Park
Rosewood Park Courts,1400 N 1200 W,Salt Lake City,UT,84116,40.7985,-111.9285,Park
Taylorsville Millrace Park,1150 W 5400 S,Taylorsville,UT,84123,40.6545,-111.9285,Park
Lone Peak Park Pickleball Complex,10140 S 700 E,Sandy,UT,84070,40.5685,-111.8715,Park
Falcon Park Courts,9200 S 1700 E,Sandy,UT,84093,40.5845,-111.8415,Park
Flat Iron Mesa Park Courts,1700 E 8600 S,Sandy,UT,84093,40.5945,-111.8445,Park
Constitution Park Courts,3285 W 7000 S,West Jordan,UT,84084,40.6245,-111.9685,Park
Sierra Newbold Park Courts,8400 S 5600 W,West Jordan,UT,84081,40.5985,-112.0215,Park
Oquirrh Park Pickleball Complex,5624 S Cougar Ln,Kearns,UT,84118,40.6485,-111.9985,Park
Riverton City Park Courts,1452 W 12600 S,Riverton,UT,84065,40.5215,-111.9315,Park
Wardle Fields Regional Park,14148 S 2700 W,Bluffdale,UT,84065,40.4945,-111.9585,Park
South Jordan City Park,11000 S Redwood Rd,South Jordan,UT,84095,40.5515,-111.9385,Park
Draper City Park Courts,12500 S 1300 E,Draper,UT,84020,40.5245,-111.8545,Park
Mount Ogden Park Courts,3144 Taylor Ave,Ogden,UT,84403,41.2085,-111.9445,Park
Scera Park Courts,600 S State St,Orem,UT,84058,40.2885,-111.6915,Park
Northridge Park Courts,1750 N 165 E,Orem,UT,84057,40.3215,-111.6885,Park
Paul Ream Wilderness Park Courts,1600 W 500 N,Provo,UT,84601,40.2415,-111.6915,Park
Little Valley Pickleball Complex,2995 S 2350 E,St. George,UT,84790,37.0615,-113.5285,Park
Vernon Worthen Park Courts,300 S 400 E,St. George,UT,84770,37.1045,-113.5785,Park
Archie H. Gubler Park,2375 Rachel Dr,Santa Clara,UT,84765,37.1345,-113.6545,Park
Canyon View Park Courts,490 W 3300 N,Spanish Fork,UT,84660,40.1445,-111.6615,Park
Park City MARC Pickleball Courts,1200 Little Kate Rd,Park City,UT,84060,40.6685,-111.5085,Park
Bridger Park Pickleball Complex,1188 N 400 W,Logan,UT,84321,41.7545,-111.8445,Park
"Salt Lake City 11th Avenue Park","590 N 11th Ave","Salt Lake City","UT","84103",40.7812,-111.8589,Free
"Salt Lake City Sunnyside Park","1735 E Sunnyside Ave","Salt Lake City","UT","84108",40.7512,-111.8389,Free
"Salt Lake City Rose Park Complex","1100 W 1000 N","Salt Lake City","UT","84116",40.7889,-111.9289,Free
"West Valley City Centennial Park","5405 W 3100 S","West Valley City","UT","84120",40.7012,-112.0189,Free
"Provo Rotary Park","1460 N 1500 W","Provo","UT","84604",40.2512,-111.6889,Free
"Provo Paul Ream Wilderness Park","1600 W 500 N","Provo","UT","84601",40.2412,-111.6912,Free
"West Jordan Ron Wood Park","5900 W New Bingham Hwy","West Jordan","UT","84081",40.6089,-112.0312,Free
"Orem Hillcrest Park Courts","650 E 1400 S","Orem","UT","84097",40.2712,-111.6812,Free
"Orem Scera Park","600 S State St","Orem","UT","84058",40.2889,-111.6912,Free
"Sandy Flat Iron Mesa Park","1700 E 8600 S","Sandy","UT","84093",40.5989,-111.8412,Free
"Sandy Quarry Bend Park","9020 S Quarry Bend Dr","Sandy","UT","84094",40.5889,-111.8689,Free
"St George Little Valley Pickleball Complex","2995 S 2350 E","St George","UT","84790",37.0612,-113.5389,Free
"St George Vernon Worthen Park","300 S 400 E","St George","UT","84770",37.1089,-113.5789,Free
"Ogden Mount Ogden Park","3144 Taylor Ave","Ogden","UT","84403",41.2089,-111.9412,Free
"Layton Ellison Park","700 N 2200 W","Layton","UT","84041",41.0712,-111.9989,Free
"Lehi Olympic Park","2650 N Center St","Lehi","UT","84043",40.4189,-111.8489,Free
"Millcreek Canyon Rim Park","3100 S Grace St","Millcreek","UT","84109",40.7012,-111.8212,Free
